Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,7423465000,6887364000,7290037000,7874381000,8579242000,9233600000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3012896789.24928,..
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,49056643589.0014,42313784081.042,47877892402.3155,50959081953.6903,52340206946.4544,54881327452.9667
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,20482608984.3316,20226038369.9191,23672712121.2671,24534663636.1778,27592361498.4057,29613572022.8993
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,16725908148.5481,14960251607.8135,18750182236.2211,20321150599.1523,19411266967.1044,19402063512.9066
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,1873288158838.63,1476107292151.95,1670647464062.96,1951923832083.87,2191131869706.02,2185821648943.86
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,15095084656.1634,15340808592.48
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,68507731353.9114,70486877546.4901,84374613233.36,90506153293.6733,102199231384.542,113343355779.985
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,16032813503.3707,17725010532.5268,19697516284.3787,18622421394.6133,20112614449.2039,23124729853.0218
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2871555326.31029,3227847281.31544,3435598072.7935,4036192552.88879,3430949249.91221,3082433067.32634
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2504525548.71164,2725414150.72735
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984,46352647037.2406
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,48814501547.4313,53296694320.2057
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33,2243636826633.76
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,5941896599.57333,5655357984.24218,6060813808.15072,6660161212.01997,7241244269.45972,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.94725,2751494281.06887
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,14905517742.8454,14932897821.2387,16871937697.5854,17828508289.6049,18340233748.8805,19518819751.283
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,10031864649.0819,9439810769.23077,11157540109.8939,11308272505.183,12507320838.3932,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,278285058719.466,254042159309.311,315325547162.072,301226575540.242,335518054097.637,330267137371.592
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,14560167101283.4,14996414166715.1,18201698719564,18316765021690.2,18270356654533.2,18743803170827.2
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,323031701192.84,270348342541.465,318524633225.395,345632492851.448,366291836137.916,418818154879.271
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1187915408.87243,1218763671.26563,1272238390.85864,1222485532.31976,1326836543.00797,1440991455.45188
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,46845900350.0332,46691989748.9186,59067289573.5102,70422346142.2023,69843655425.2929,70962185790.7094
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,13976637779.9763,11468687464.0046,14825690210.9157,15817030154.6941,15321055822.5167,15719986076.6464
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,64417670521.3545,62395610760.0492,64960725734.1965,69243626028.5936,86497941439.0174,95350423176.5962
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,60382894697.3557,63027852805.4204,72794636653.7793,70922824813.9102,80780312569.1646,87113179149.284
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,61466721186.3116,57959843541.3699,69002365163.3368,71196498671.1145,85624153964.0987,92983810328.9088
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,103427600000,107352000000,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417,3281419347.37053,3561178196.20713
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,26196667099.5303,25555093854.2968,30372642502.4897,31218038929.0919,35075423857.0996,37634533331.8902
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,256794209028.77,251109660602.536,290972714482.313,301831228325.556,345059295659.911,347034062928.479
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,345401473012.615,355631021931.621,406110162088.054,400114306337.077,404651706117.557,424524722037.047
